,shopname,district_name,location,lat,lng
88,City Vineyard,Unknown,233 West St,33.8153,-94.548302
89,BoCaphe,SoHo,222 Lafayette St,40.63937,-74.09438
90,Cafe Habana,Nolita,17 Prince St,40.54699,-74.21972
91,Tasty Hand-Pulled Noodles,Chinatown,1 Doyers St,40.71422,-73.99786
92,Sweetwater Restaurant,Williamsburg - North Side,105 N 6th St,40.71856,-73.95988
93,Nyonya,Little Italy,199 Grand St,40.71433,-73.96021
94,Thai Villa,Flatiron,5 E 19th St,37.14374,-89.123427
95,Gelso & Grand,Little Italy,186 Grand St,40.71956,-73.99733
96,AlMar,DUMBO,111 Front St,37.14374,-89.123427
97,Joe’s Shanghai,Chinatown,46 Bowery St,40.7158,-73.99696
98,Wah Fung No 1,Lower East Side,79 Chrystie St,40.71735,-73.99457
99,Juliana’s Pizza,DUMBO,19 Old Fulton St,33.737801,-87.252502
100,Jack’s Wife Freda,SoHo,224 Lafayette St,40.72213,-73.99756
101,Rubirosa,Nolita,235 Mulberry St,40.72275,-73.99625
102,Sunday in Brooklyn,Williamsburg - South Side,348 Wythe Ave,42.44461,-75.04623
103,LoveMama,East Village,174 2nd Ave,40.73037,-73.98598
104,Fishmarket Restaurant,South Street Seaport,111 South St,42.71538,-78.00673
105,The Binc,Brooklyn Heights,60 Henry St,33.8153,-94.548302
106,Evil Katsu,Lower East Side,101 Rivington St,40.71985,-73.98831
107,Seamore’s,DUMBO,66 Water St,40.7032,-73.99145
108,Gran Electrica,DUMBO,5 Front St,40.70275,-73.99316
109,Sushi Lab Rooftop NYC,Theater District,132 West 47th St,40.7584,-73.98329
110,Lillo Cucina Italiana,Cobble Hill,331 Henry St,33.8153,-94.548302
111,Bogota Latin Bistro,Park Slope,141 5th Ave,37.14374,-89.123427
112,Kaikagetsu NYC,Lower East Side,162 Orchard St,40.72105,-73.98847
113,Silver Factory,Williamsburg - South Side,270 South 5th St,40.70924,-73.95858
114,Le Crocodile,Williamsburg - North Side,80 Wythe Ave,40.72198,-73.95793
115,Ugly Baby,Carroll Gardens,407 Smith St,40.67794,-73.99601
116,Wayan,Nolita,20 Spring St,40.60318,-74.0938
117,Lilia,Williamsburg - North Side,567 Union Ave,42.08647,-78.43007
118,Ume Williamsburg,Williamsburg - North Side,237 Kent Ave,41.47019,-73.66406
119,hanon,Williamsburg - North Side,436 Union Ave,42.08282,-78.42983
120,Coco Bistro,South Street Seaport,233-235 Front St,40.70787,-83.84219
121,The Hideaway Seaport,South Street Seaport,22 Peck Slip,41.20685,-73.97495
122,Hay Hay Roasted,Chinatown,81 Mott St,40.71659,-73.99814
123,Wok Wok Southeast Asian Kitchen,Chinatown,11 Mott St,40.71403,-73.99898
124,3 Times 茅庐,Lower East Side,90 Clinton St,40.71827,-73.98521
125,The Four Horsemen,Williamsburg - South Side,295 Grand St,40.71739,-73.99208
126,Miss Ada,Fort Greene,184 Dekalb Ave,40.6894,-73.9724
127,The Bear,Williamsburg - South Side,48 S 4th St,40.71278,-73.96666
128,Birds of a Feather,Williamsburg - South Side,191 Grand St,41.68382,-73.911
129,L’Artusi,West Village,228 W 10th St,40.73371,-74.00513
130,Kuun,Boerum Hill,290 Livingston St,42.06494,-73.79338
131,Haenyeo,Park Slope,239 5th Ave,33.8153,-94.548302
132,Barbalu Restaurant,South Street Seaport,225-227 Front St,35.16263,-86.00896
133,GunBae Tribeca,TriBeCa,67 Murray St,40.7147,-74.01021
134,Loco Coco - Brooklyn,DUMBO,55 Water St,40.70319,-74.00915
135,Piccola Cucina Osteria,South Village,196 Spring St,42.69374,-74.94412
136,Pies-n-Thighs,Williamsburg - South Side,166 S 4th St,40.71112,-73.96143
137,Ampersand,Gramercy,294 3rd Ave,40.7387,-73.98358
138,Balthazar,SoHo,80 Spring St,40.72262,-73.99826
139,Kuih Cafe,Chinatown,46 Eldridge St,40.71586,-73.99286
140,Wayla,Lower East Side,100 Forsyth St,40.71823,-73.9926
141,The Boil,Lower East Side,139 Chrystie St,40.71974,-73.99338
142,Something Good in Brooklyn,Boerum Hill,25 Bond St,40.63469,-74.12987
143,Shanghai 21,Chinatown,21 Mott St,40.71441,-73.99902
144,Nami Nori,West Village,33 Carmine St,40.7302,-74.00326
145,San Blas,Brooklyn Heights,140 Montague St,40.69451,-73.99371
146,Taiwan Pork Chop House,Chinatown,3 Doyers St,40.71425,-73.99797
147,Claw Daddy’s,Boerum Hill,31 3rd Ave,33.8153,-94.548302
148,Lucali,Carroll Gardens,575 Henry St,40.6818,-74.00023
149,Saigon Shack,Greenwich Village,114 Macdougal St,40.72961,-74.0005
150,The Smith,Midtown East,956 2nd Ave,33.8153,-94.548302
151,JeJu Noodle Bar,West Village,679 Greenwich St,40.73306,-74.00717
152,LĒNA,Lower East Side,137 Eldridge St,40.7191,-73.9916
153,Very Fresh Noodles,Meatpacking District,409 W 15th St,40.74208,-74.00565
154,Yin Ji Chang Fen Rice Roll,Chinatown,91 Bayard St,40.71581,-73.99924
155,Boutros,Cobble Hill,185 Atlantic Ave,40.59227,-74.09237
156,Kokomo,Williamsburg - North Side,65 Kent Ave,43.22048,-85.74872
157,Kahlo,Chelsea,525 West 29th St,33.8153,-94.548302
158,Hometown Bar-B-Que,Red Hook,454 Van Brunt St,40.67493,-74.01614
159,Hole In The Wall - Williamsburg,Unknown,292 Bedford Ave,37.14374,-89.123427
160,Don Angie,West Village,103 Greenwich Ave,40.7378,-74.00208
161,Walter’s,Fort Greene,166 DeKalb Ave,40.68942,-73.97327
162,Top Thai Greenwich,Greenwich Village,235 Sullivan St,40.72977,-73.99942
163,Pollo D’ Oro,Downtown Brooklyn,306 Gold St,40.69505,-73.98357
164,Soco,Clinton Hill,509 Myrtle Ave,33.737801,-87.252502
165,Yi Ji Shi Mo Noodle Corp,Little Italy,88 Elizabeth St,40.71817,-73.9957
166,Grimaldi’s Pizzeria,DUMBO,1 Front St,40.70263,-73.99324
167,High Lúa Vietnamese Kitchen,Williamsburg - South Side,182 S 2nd St,40.71258,-73.96045
168,Kiki’s,Chinatown,130 Division St,33.737801,-87.252502
169,Mama’s Cupboard,Midtown East,235 E 53rd St,33.8153,-94.548302
170,MONOMONO,East Village,116 E 4th St,40.7255,-73.98803
171,Peaches Low Country Kitchen,Financial District,52 Fulton St,40.70827,-74.00487
172,Hak Box,Chinatown,88 E Broadway,35.714,-89.05535
173,David Burke TImeout Market,DUMBO,55 Water St,40.70319,-74.00915
174,Emily - West Village,West Village,35 Downing St,40.7294,-74.00369
175,Gersi,Carroll Gardens,316 Court St,40.68344,-73.99571
176,The Tyger,Little Italy,1 Howard St,40.65919,-73.97997
177,Brindle Room,East Village,277 E 10th St,40.72831,-73.98272
178,Tsurutontan Udon Noodle Brasserie,Union Square,21 E 16th St,40.73678,-73.99107
179,Chez Moi,Cobble Hill,135 Atlantic Ave,40.69657,-73.81617
180,Mama Mia 44 SW,Midtown West,621 9th Ave,33.737801,-87.252502
181,Sofreh,Prospect Heights,75 St Marks Ave,37.14374,-89.123427
182,Landhaus,Unknown,3-99 New Dock St,43.02494,-76.49328
183,Forma Pasta Factory,Greenpoint,14 Bedford Ave,40.5639,-73.91266
184,Aoi Kitchen,East Village,320 E 6th St,40.72678,-73.98763
185,Balzem,Nolita,202 Mott St,40.72139,-73.99545
186,Pommes Frites,Greenwich Village,128 Macdougal St,40.73002,-74.00017
187,Llama Inn,Williamsburg - North Side,50 Withers St,40.96628,-72.85012
188,Fish Cheeks,NoHo,55 Bond St,40.72573,-73.99266
189,Doma,East Village,120 1st Ave,33.737801,-87.252502
190,Shuka,South Village,38 MacDougal St,40.72699,-74.00275
191,Omar’s Kitchen and Rum Bar,Unknown,29A Clinton St,40.72041,-73.9845
192,Diner,South Williamsburg,85 Broadway,40.70275,-73.96012
193,Farida Central Asian Cuisine & Grill,Midtown West,498 9th Ave,33.8153,-94.548302
194,Brooklyn Chop House,Civic Center,150 Nassau St,40.7114,-74.0059
195,Los Tacos No. 1,Unknown,136 Church St,33.737801,-87.252502
196,Aunt Jake’s,Little Italy,133 Mulberry St,40.71864,-73.99792
197,Cafe Gitane,Unknown,70 Hudson Ave,33.737801,-87.252502
198,Bites of Xi’an,Boerum Hill,318 Livingston St,42.19029,-73.81398
199,Tiger Box,Unknown,169 Park Ave,40.69231,-73.97335
200,shabushabu Mayumon,Chinatown,115 Division St,37.14374,-89.123427
201,Alta,Greenwich Village,64 W 10th St,40.73437,-73.99826
202,Banhmigos,Brooklyn Heights,92 Court St,40.78237,-73.64583
203,Galli,SoHo,45 Mercer St,40.72168,-74.00141
204,NAYA,Unknown,One New York Plz,41.58962,-74.50152
205,Joey Bats Café,Lower East Side,129 Allen St,40.72007,-73.99038
206,Cayenne Nashville Hot Chicken,Lower East Side,92 Rivington St,40.72034,-73.98864
207,The Spaniard,West Village,190 W 4th St,40.73282,-74.00217
208,French Louie,Boerum Hill,320 Atlantic Ave,40.68797,-73.98823
209,Her Name Is Han,Midtown East,17 E 31st St,40.74627,-73.98474
210,Bolero,Williamsburg - North Side,177 Bedford Ave,41.21416,-73.72051
211,Mazu Szechuan Cuisine,Murray Hill,495 3rd Ave,33.8153,-94.548302
